gt_01.png | GT: At medium distance ahead there are several cars; in the distance ahead there is a car. | annotation_count: 4 | classes_in_frame: ['car']
gt_02.png | GT: Nearby ahead there is a car; at medium distance ahead there are several cars. | annotation_count: 17 | classes_in_frame: ['bike', 'car', 'hydrant', 'person', 'sign']
gt_03.png | GT: Nearby on the left there is a vehicle; at medium distance ahead there is a truck. | annotation_count: 27 | classes_in_frame: ['car', 'light', 'other vehicle', 'sign', 'truck']
gt_04.png | GT: Nearby on the left there are two cars; nearby on the right there is a car. | annotation_count: 5 | classes_in_frame: ['car']
gt_05.png | GT: Nearby ahead there is a car; nearby on the left there is a car. | annotation_count: 9 | classes_in_frame: ['car', 'person', 'sign']
gt_06.png | GT: Nearby on the left there is a car; at medium distance ahead there is a vehicle. | annotation_count: 7 | classes_in_frame: ['car', 'other vehicle', 'sign']
gt_07.png | GT: Nearby on the left there is a car; nearby ahead there is a car. | annotation_count: 8 | classes_in_frame: ['bike', 'car', 'person', 'sign']
gt_08.png | GT: At medium distance ahead there are several cars; at medium distance ahead there are several pedestrians. | annotation_count: 21 | classes_in_frame: ['car', 'person', 'sign']
gt_09.png | GT: Night: nearby on the left there is a car; nearby on the right there is a pedestrian. | annotation_count: 14 | classes_in_frame: ['car', 'hydrant', 'light', 'person', 'sign']
gt_10.png | GT: Night: nearby on the left there is a car; at medium distance on the left there are several pedestrians. | annotation_count: 11 | classes_in_frame: ['car', 'hydrant', 'light', 'person']
gt_11.png | GT: Nearby ahead there are two pedestrians; at medium distance on the right there are several pedestrians. | annotation_count: 20 | classes_in_frame: ['car', 'other vehicle', 'person']
gt_12.png | GT: Nearby on the right there is a car; nearby on the left there is a car. | annotation_count: 41 | classes_in_frame: ['car', 'light', 'person', 'sign']
gt_13.png | GT: Nearby ahead there is a car; nearby on the left there are two cars. | annotation_count: 9 | classes_in_frame: ['car', 'person', 'sign']
gt_14.png | GT: Night: nearby on the right there is a pedestrian; at medium distance on the right there are two pedestrians. | annotation_count: 17 | classes_in_frame: ['bus', 'car', 'light', 'person', 'sign']
gt_15.png | GT: Nearby ahead there is a car; at medium distance on the left there are two cars. | annotation_count: 19 | classes_in_frame: ['bus', 'car', 'light', 'person']
gt_16.png | GT: Nearby ahead there is a vehicle; nearby ahead there are two pedestrians. | annotation_count: 3 | classes_in_frame: ['other vehicle', 'person']
gt_17.png | GT: Nearby on the left there is a car; at medium distance ahead there are several cars. | annotation_count: 10 | classes_in_frame: ['car']
gt_18.png | GT: Night: at medium distance ahead there is a pedestrian; in the distance ahead there are two pedestrians. | annotation_count: 11 | classes_in_frame: ['hydrant', 'light', 'person', 'sign']
gt_19.png | GT: Night: at medium distance on the right there are several pedestrians; at medium distance on the right there is a bicycle. | annotation_count: 19 | classes_in_frame: ['bike', 'car', 'light', 'person', 'sign']
gt_20.png | GT: Nearby on the right there are two cars; nearby ahead there is a car. | annotation_count: 12 | classes_in_frame: ['car', 'person', 'sign']
gt_21.png | GT: At medium distance ahead there are several cars; at medium distance on the right there are two pedestrians. | annotation_count: 23 | classes_in_frame: ['bike', 'bus', 'car', 'light', 'person', 'sign']
gt_22.png | GT: Night: nearby on the right there is a pedestrian; nearby ahead there are several pedestrians. | annotation_count: 16 | classes_in_frame: ['bus', 'car', 'light', 'person', 'sign']
gt_23.png | GT: Nearby ahead there are several cars; nearby on the left there are several cars. | annotation_count: 12 | classes_in_frame: ['car', 'person', 'sign']
gt_24.png | GT: Nearby on the left there is a car; at medium distance ahead there is a car. | annotation_count: 6 | classes_in_frame: ['car', 'hydrant', 'person']
gt_25.png | GT: At medium distance on the right there are several pedestrians; at medium distance on the left there are two pedestrians. | annotation_count: 14 | classes_in_frame: ['light', 'person', 'sign']
gt_26.png | GT: Nearby ahead there is a car; at medium distance ahead there is a car. | annotation_count: 16 | classes_in_frame: ['car', 'light', 'person']
gt_27.png | GT: Nearby on the right there is a car; nearby ahead there are several cars. | annotation_count: 18 | classes_in_frame: ['car', 'person', 'sign']
gt_28.png | GT: Nearby on the right there is a pedestrian; nearby on the left there are two cars. | annotation_count: 23 | classes_in_frame: ['car', 'person', 'sign']
gt_29.png | GT: Nearby on the right there is a car; nearby ahead there are two cars. | annotation_count: 15 | classes_in_frame: ['car', 'person', 'sign']
gt_30.png | GT: Nearby on the left there is a car; at medium distance ahead there are several cars. | annotation_count: 14 | classes_in_frame: ['bike', 'car', 'person', 'sign']
